Account Name,Industry Sector,Days of Data,Number of Clients,Total Critical Roaming Minutes,Average Critical Roaming Minutes per Client per Day,Total Critical Coverage Minutes,Average Critical Coverage Minutes per Client per Day,Total Critical Congestion Minutes,Average Critical Congestion Minutes per Client per Day,Total Critical Co-Channel Interference Minutes,Average Critical Co-Channel Interference Minutes per Client per Day,Total Critical Adjacent Channel Interference Minutes,Average Critical Adjacent Channel Interference Minutes per Client per Day,Total Critical RF Problem Minutes,Average Critical RF Problem Minutes per Client per Day,Total Average Critical Minutes per Client per Day,Total Average Critical Hours per Client per Day,Total Critical Hours Identified per Day
PAS,Enterprise Office Space,30,535.0,22513.0,1.4026791277258568,95662.0,5.9602492211838,,,22514.0,1.4027414330218069,402728.0,25.09208722741433,,,33.85775700934579,0.5642959501557632,301.8983333333333
Peloton,Enterprise Office Space,30,47.0,2879.0,2.041843971631206,41680.0,29.56028368794326,2.0,0.0014814814814814816,8016.0,5.685106382978723,6136.0,4.35177304964539,72.0,0.05333333333333334,41.693821907013394,0.6948970317835566,32.660160493827156
PepsiCo,Manufacturing/Distribution,30,27.0,502.0,0.619753086419753,10484.0,12.94320987654321,5.0,0.006410256410256411,1665.0,2.0555555555555554,10920.0,13.481481481481483,39.0,0.05,29.156410256410258,0.48594017094017095,13.120384615384616
PernodRicard,Manufacturing/Distribution,30,19.0,1605.0,2.8157894736842106,12118.0,21.259649122807016,0.0,0.0,50.0,0.08771929824561404,71.0,0.12456140350877193,0.0,0.0,24.28771929824561,0.4047953216374268,7.69111111111111
Pontificia,Higher Education,30,8.0,129.0,0.5375,342.0,1.425,0.0,0.0,174.0,0.725,552.0,2.3,0.0,0.0,4.9875,0.08312499999999999,0.6649999999999999
Publicis,Enterprise Office Space,30,291.0,2692.0,0.30836197021764034,17811.0,2.04020618556701,9.0,0.0026086956521739132,10111.0,1.1581901489117985,2456.0,0.2813287514318442,79.0,0.022898550724637683,3.8135943025051042,0.06355990504175174,18.495932367149756
Pulte,Enterprise Office Space,30,17.0,2998.0,5.878431372549019,2145.0,4.205882352941177,2.0,0.004166666666666667,634.0,1.2431372549019608,7615.0,14.931372549019608,23.0,0.04791666666666667,26.3109068627451,0.43851511437908497,7.454756944444444
Redcar,Enterprise Office Space,30,27.0,1498.0,1.8493827160493828,893.0,1.1024691358024692,0.0,0.0,942.0,1.1629629629629628,13047.0,16.107407407407408,0.0,0.0,20.22222222222222,0.337037037037037,9.1
Regeneron,Enterprise Office Space,30,18.0,2026.0,3.751851851851852,288.0,0.5333333333333333,0.0,0.0,3106.0,5.7518518518518515,27203.0,50.37592592592593,39.0,0.07222222222222222,60.48518518518519,1.0080864197530865,18.145555555555557
RLI,Enterprise Office Space,30,149.0,4579.0,1.0243847874720358,6722.0,1.5038031319910514,35.0,0.007990867579908675,10683.0,2.3899328859060405,39841.0,8.912975391498883,205.0,0.046803652968036534,13.885890717415954,0.23143151195693257,34.483295281582954
Rocket,Enterprise Office Space,30,102.0,3230.0,1.0555555555555556,19218.0,6.280392156862745,,,10535.0,3.409385113268608,15165.0,4.907766990291262,,,15.65309981597817,0.2608849969329695,26.61026968716289
RohdeSchwartz,Enterprise Office Space,30,15.0,1617.0,3.5933333333333333,26.0,0.05777777777777778,38.0,0.09047619047619047,11828.0,26.284444444444443,4996.0,11.102222222222222,39.0,0.09285714285714285,41.22111111111111,0.6870185185185185,10.305277777777777
Ryder,Manufacturing/Distribution,30,1471.0,54193.0,1.2280308180376163,41244.0,0.9346023113528212,,,148168.0,3.3552536231884056,1264161.0,28.626834239130435,,,34.14472099170928,0.5690786831951546,837.1147429800725
Salinas,Hospital Healthcare,30,2.0,13.0,0.21666666666666667,3.0,0.05,,,14.0,0.23333333333333334,28.0,0.4666666666666667,,,0.9666666666666667,0.01611111111111111,0.03222222222222222
SAQ,Enterprise Office Space,30,73.0,28735.0,13.121004566210045,144498.0,65.98082191780821,63.0,0.028767123287671233,190369.0,86.92648401826483,9319.0,4.255251141552511,302.0,0.13789954337899543,170.45022831050227,2.840837138508371,207.3811111111111
SaulEwing,Enterprise Office Space,30,,,,,,,,,,,,,,0.0,0.0,
Seahawks,High Density Large Venue,30,,,,,,,,,,,,,,0.0,0.0,
Securitas,Enterprise Office Space,30,,,,,,,,,,,,,,0.0,0.0,
Sheetz,Retail,30,294.0,30026.0,3.404308390022676,28478.0,3.2287981859410433,280.0,0.04508856682769726,12757.0,1.446371882086168,75206.0,8.526757369614511,280.0,0.04508856682769726,16.696412961319794,0.2782735493553299,81.81242351046699
Sky,Enterprise Office Space,30,1718.0,183123.0,3.5530267753201397,297039.0,5.763271245634458,0.0,0.0,101462.0,1.9686069072564998,596028.0,11.564377182770665,3.0,0.0001358695652173913,22.849417980546978,0.3808236330091163,654.2550015096618
